company_name,company_id,website,company_logo_url,parentEmployer_name,parentEmployer_ID,parentEmployer_logoURL,numberOfRatings,overallRating,ratingDescription,workLifeBalanceRating,careerOpportunitiesRating,compensationAndBenefitsRating,cultureAndValuesRating,recommendToFriendRating,seniorLeadershipRating,ceo_name,ceo_title,ceo_Photo_URL,ceo_numberOfRatings,ceo_approval_rate,review_URL,review_ID,review_pros,review_cons,review_overall,review_location,review_DateTime,review_currentJob,review_jobTitle,review_location,industryName,industryId,sectorName,sectorId,exactMatch
Accela Communications,34871,www.accelacommunications.com,,,,,1,5.0,Very Satisfied,3.0,3.0,3.0,3.0,100,3.0,Bill Reinstein,President and CEO,,1.0,100.0,,,,,,,,,,,Computer Hardware & Software,200060.0,Information Technology,10013.0,False
Accenture,4138,www.accenture.com,https://media.glassdoor.com/sqll/4138/accenture-squarelogo-1530518308888.png,,,,35160,3.8,Satisfied,3.3,3.7,3.4,3.8,80,3.2,Pierre Nanterme,CEO,https://media.glassdoor.com/people/sqll/4138/accenture-pierre-nanterme.png,16328.0,93.0,https://www.glassdoor.com/Reviews/Employee-Review-Accenture-RVW21550067.htm,21550067.0,Complete Flexibility to experiment with technology,Restricted Growth depending on the geography like Kolkata in India,5.0,"Dublin, Co. Dublin (Ireland)",2018-07-19 03:53:47.387,False,Employee,"Dublin, Co. Dublin (Ireland)",,,,,True
Avanade,11701,www.avanade.com,https://media.glassdoor.com/sqll/11701/avanade-squarelogo-1530627711400.png,,,,1255,3.6,Satisfied,3.2,3.5,3.6,3.6,70,3.2,Adam Warby,CEO,https://media.glassdoor.com/people/sqll/11701/avanade-adam-warby.png,632.0,83.0,https://www.glassdoor.com/Reviews/Employee-Review-Avanade-RVW10381929.htm,10381929.0,"Good opportunity for young graduates to start working and to make experience with IT technologies.
Free Microsoft Certifications. The company pays for you.","Bad work/life balance.
A lot of overtime and sometimes they ask to work during weekends.
They overload employee in order to allocate less people on projects.
Low salaries.",2.0,,2016-04-25 04:03:28.783,False,Analyst,,IT Services,200064.0,Information Technology,10013.0,False
Coritel,139004,www.coritel.es,https://media.glassdoor.com/sqll/139004/coritel-squarelogo.png,,,,18,2.8,OK,2.7,2.7,2.7,2.8,55,2.5,Pierre Nanterme,Chairman and CEO,https://media.glassdoor.com/people/sqll/139004/coritel-ceo1495431382884.png,1.0,0.0,https://www.glassdoor.com/Reviews/Employee-Review-Coritel-RVW20425604.htm,20425604.0,Nothing. I don't recommend this company.,A lot of unpaid overtime and a lot of managers only trying to press the employees with crazy deadlines.,1.0,,2018-05-03 15:52:35.357,False,Senior Software Developer,,Computer Hardware & Software,200060.0,Information Technology,10013.0,False
Fjordnet,522452,www.fjordnet.com,https://media.glassdoor.com/sqll/522452/fjordnet-squarelogo.png,Accenture,4138.0,https://media.glassdoor.com/sql/4138/accenture-squarelogo-1530518308888.png,96,3.0,OK,3.4,3.0,3.4,3.5,57,2.6,Olof Schybergson,Founder & CEO,https://media.glassdoor.com/people/sqll/522452/fjordnet-olof-schybergson.png,52.0,91.0,,,,,,,,,,,Advertising & Marketing,200022.0,Business Services,10006.0,False
Ace Express Freight,2138553,aceexpressfreight.business.site,,,,,2,2.7,OK,1.0,1.0,1.0,1.0,56,1.0,,,,,,https://www.glassdoor.com/Reviews/Employee-Review-Ace-Express-Freight-RVW21460576.htm,21460576.0,"Lovely team, very dedicated.  Recent changes are bringing great improvements to the company, making it a leaner and fairer company to work for.",Building / staff facilities need to be upgraded.,4.0,Lusk (Ireland),2018-07-12 23:36:46.007,True,Employee,Lusk (Ireland),,,,,True
ACI Worldwide,4024,www.aciworldwide.com,https://media.glassdoor.com/sqll/4024/aci-worldwide-squarelogo-1462470251472.png,,,,653,3.3,OK,3.5,3.2,3.6,3.3,62,2.9,Phil Heasley,"President, CEO, and Director",https://media.glassdoor.com/people/sqll/4024/aci-worldwide-ceo1464989040367.png,348.0,68.0,https://www.glassdoor.com/Reviews/Employee-Review-ACI-Worldwide-RVW21339246.htm,21339246.0,"Very competitive salary and benefits package.
Flexible work environment, including ability to work from home when needed.
Employee engagement and development is ACI's top priority - and I personally have benefited from this.
Opportunity to travel to other ACI sites and to customers.
My colleagues are talented, friendly and helpful. ACI's employees are consistently identified as its most valuable resource.
ACI invest a higher percentage of revenue in R&D than most tech companies.
Internal flexibility to move across product lines and be exposed to other payment domains and technologies.
ACI's executives advocate and execute a bold, forward-thinking strategy.
Frequent employee activities (eg. Friday treats, On-site fitness classes, Nights out, Summer and Christmas parties etc.).
On-site gym and games room (foosball, pool, PS4).
Agile development methodology.
Strong career advancement prospects along multiple tracks (management, technical).","ACI is heavily audited (to the same level as financial institutions), so the IT environment (including user's laptops) is tightly controlled. However, the IT department put a lot of effort into ensuring that the environment allows users to do what they need to while meeting audit requirements.
Also, due to audit requirements, development and release processes can be heavy, but again, this is an area of constant improvement with input from those affected by the process.",5.0,"Limerick, Co. Limerick (Ireland)",2018-07-05 00:20:55.15,True,Architect,"Limerick, Co. Limerick (Ireland)",Computer Hardware & Software,200060.0,Information Technology,10013.0,True
ACI Worldwide Express,496213,www.aciexpress.co.kr,https://media.glassdoor.com/sqll/496213/aci-worldwide-express-squarelogo-1503668144921.png,,,,1,4.0,Satisfied,4.0,4.0,3.0,3.0,100,4.0,,,,,,,,,,,,,,,,Logistics & Supply Chain,200125.0,Transportation & Logistics,10024.0,False
Acorn Recruitment,676320,www.acornpeople.com,https://media.glassdoor.com/sqll/676320/acorn-recruitment-squarelogo-1437479645235.png,,,,11,2.7,OK,2.4,2.8,2.6,2.1,45,2.2,Matt Southall,Founder & Group Managing Director,,3.0,100.0,,,,,,,,,,,Staffing & Outsourcing,200032.0,Business Services,10006.0,True
The Acorn Group,1461358,www.acornpeople.com,https://media.glassdoor.com/sqll/1461358/the-acorn-group-squarelogo-1478817505471.png,,,,0,0,Not Applicable,0.0,0.0,0.0,0.0,0,0.0,Rob Sargent,CEO,https://media.glassdoor.com/people/sqll/1461358/the-acorn-group-ceo1478817369878.png,0.0,0.0,,,,,,,,,,,Staffing & Outsourcing,200032.0,Business Services,10006.0,False
Actavo,1307852,www.actavo.com,https://media.glassdoor.com/sqll/1307852/actavo-squarelogo-1501236429546.png,,,,55,2.0,Dissatisfied,2.0,2.0,1.9,2.0,23,1.8,,,,,,https://www.glassdoor.com/Reviews/Employee-Review-Actavo-RVW20090773.htm,20090773.0,Great team spirit and positive engagement where all work together for the betterment of the company and its brand at a global level. Lots of opportunity given to employees for personal development locally and globally.,Limited scope currently for new acquisitions,4.0,"Dublin, Co. Dublin (Ireland)",2018-04-10 06:21:50.547,True,European Design Director,"Dublin, Co. Dublin (Ireland)",,,,,True
Action Point (Ireland),1377593,www.actionpoint.ie,,,,,0,0,Not Applicable,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,False
